index,Toughness
0,96.62249825799998
1,113.01721724699999
2,68.329375984
3,29.51765073300001
4,35.638013465
5,132.401884811
6,45.667709489
7,44.514867454000004
8,27.161907779999986
9,6.0401853087000035
10,24.391773787000005
11,30.50736937099999
12,13.843201348699985
13,732.6989314799999
14,190.84808836000002
15,26.971249236999995
16,6.9022589072000144
17,21.477765674000032
18,25.734375607999986
19,17.865353484999993
20,22.44404916400002
21,50.644745268
22,32.23366824500003
23,34.851302882000006
24,129.50171622
25,715.01849163
26,38.635778794000004
27,5.855633420000011
28,92.12968875800001
29,6.765821237000033
30,8.132332002100036
31,17.598117948000016
32,27.10563942000001
33,113.765643343
34,200.547831787
35,36.775542425000026
36,40.943218874999985
37,16.321446507399997
38,4.335470882399974
39,225.67599725000002
40,69.410387071
41,38.27538164900001
42,34.483197589
43,18.06797460299999
44,25.51911743800001
45,10.990731854199957
46,44.926375019000005
47,88.981880868
48,29.268917181999996
49,93.339810008
50,6.516668656600004
51,60.251771633000004
52,38.09764881000001
53,5.7537495396000224
54,223.35129526999998
55,6.500079795999973
56,84.758364006
57,25.808730867900003
58,71.470258444
59,48.87487245700001
60,11.466396812699983
61,19.776899303999997
62,95.14122769599997
63,146.82276269699997
64,24.47955995900002
65,254.91331793000006
66,9.605597644600003
67,10.372534002000009
68,123.310802321
69,240.5952912959999
70,15.2560015575
71,49.41112877700001
72,14.932765544000027
73,44.534733212999996
74,143.54886545600004
75,19.41510979999999
76,29.847799842
77,29.963381905999995
78,27.59832553799997
79,42.180419347
80,31.220808966
81,130.126687036
82,7.399692763299974
83,10.9521255903
84,19.051835599000015
85,6.255244541900041
86,33.01573439900002
87,7.379429049800031
88,7.61281555719998
89,30.280746730999986
90,8.42047181280001
91,28.111418800999957
92,16.72633358330001
93,37.846082521000014
94,22.57573523599998
95,49.718074613
96,78.975351581
97,38.46068396700001
98,17.4443788349
99,457.16779310999993
100,164.38968921299997
101,57.27721480400001
102,18.489633482999984
103,20.195812043999993
104,11.3686105942
105,44.720376801
106,10.486029158600026
107,68.6594422
108,21.714373769099986
109,61.977940513
110,34.340457958
111,39.45373548900001
112,45.811709359999995
113,35.34141922399999
114,30.755550123999996
115,38.892001819
116,26.090020038000006
117,66.81259812200001
118,12.013774309299968
119,28.916276848000003
120,23.498261145
121,30.175225042
122,14.050924264099997
123,18.271139127999987
124,37.174260175
125,272.33003398000005
126,192.84161250000005
127,13.60655279380002
128,25.372284771000004
129,24.43895570599998
130,11.662367011799972
131,20.547893233199993
132,16.607973166500003
133,103.373123842
134,35.135361679
135,7.56855319539995
136,19.72936141500002
137,57.684653035000004
138,298.4394111500001
139,335.2320239300001
140,6.026466774599982
141,355.16983471
142,8.705404346799966
