index,Toughness
0,86.21089
1,109.69582
2,85.462524
3,30.948084
4,31.457941
5,107.276695
6,37.510735
7,32.549664
8,29.817747
9,11.777327
10,23.173845
11,56.473248
12,7.362364
13,635.60974
14,200.59879
15,40.76423
16,11.271486
17,14.072592
18,24.226488
19,20.124468
20,19.234026
21,43.968296
22,26.773882
23,38.933075
24,163.4245
25,473.527
26,31.410032
27,7.5501614
28,69.0367
29,4.4984264
30,10.49362
31,21.64121
32,28.184954
33,118.16964
34,135.45436
35,31.371653
36,46.271732
37,19.902933
38,-5.266039
39,283.39435
40,81.41649
41,36.952988
42,34.63139
43,23.603228
44,21.891687
45,23.25551
46,34.423145
47,84.790886
48,24.830263
49,109.03093
50,11.457022
51,47.045784
52,49.176395
53,3.7724516
54,181.49097
55,11.7979145
56,102.95283
57,23.422632
58,118.73525
59,32.03115
60,6.1589603
61,22.82451
62,58.725986
63,118.684555
64,19.88305
65,257.08762
66,16.757105
67,11.867453
68,127.5205
69,171.98244
70,13.169096
71,49.245144
72,20.339624
73,38.745937
74,363.8247
75,19.886145
76,22.343035
77,32.773926
78,32.00818
79,32.084038
80,25.656343
81,171.94395
82,17.870169
83,12.340006
84,13.183615
85,8.146109
86,29.883223
87,5.142473
88,7.9459934
89,26.1309
90,9.505411
91,27.50957
92,25.149801
93,40.75188
94,22.825056
95,45.84997
96,70.66161
97,36.576935
98,15.271051
99,467.5561
100,205.80307
101,81.46459
102,26.170492
103,21.8702
104,5.2185116
105,54.32792
106,17.211912
107,68.37978
108,15.741579
109,65.48514
110,23.217005
111,27.006048
112,25.52448
113,38.089527
114,25.692266
115,36.174423
116,24.339891
117,62.848473
118,12.215544
119,27.020105
120,19.425665
121,31.48055
122,9.530275
123,17.521692
124,35.337914
125,310.72888
126,245.87543
127,9.555891
128,18.467028
129,31.943914
130,5.8357754
131,10.319284
132,24.928679
133,84.89535
134,26.681555
135,10.731836
136,22.14432
137,31.491457
138,401.6242
139,248.29218
140,4.7253933
141,358.75543
142,11.832529
143,87.317406
144,24.19367
145,28.367876
146,42.26876
147,38.812786
148,303.46933
149,37.601074
150,35.858616
151,21.447691
152,40.826527
153,74.98231
154,31.97555
155,21.293848
156,74.4403
157,8.148775
158,11.463911
159,72.09133
160,12.696131
161,29.644884
162,66.210785
163,13.432047
164,15.337404
165,18.60845
166,89.12197
167,10.206205
168,-0.061540455
169,26.353018
170,5.6910076
171,-2.501581
172,146.5466
173,7.41136
174,28.124407
175,50.839485
176,48.43029
177,136.76321
178,7.2199574
179,12.262247
180,32.01578
181,80.597824
182,11.669977
183,33.67109
184,16.088198
185,224.56612
186,11.528784
187,65.5472
188,7.3371563
189,58.548306
190,23.834673
191,76.726105
192,51.33821
193,21.504225
194,24.16622
195,17.72172
196,8.9653225
197,15.481226
198,28.217299
199,195.67229
200,20.772234
201,80.867584
202,30.491274
203,51.07368
204,997.7054
205,168.94254
206,13.2012615
207,214.8403
208,12.622637
209,22.60061
210,7.6165676
211,70.120445
212,296.24194
213,28.699183
214,30.951612
215,42.268997
216,817.5281
217,24.00075
218,19.991873
219,9.568792
220,659.5022
221,32.506504
222,16.597921
223,191.54457
224,37.21322
225,43.712265
226,25.877764
227,131.78946
228,40.402287
229,99.77913
230,13.175356
231,23.656332
232,3.6928198
233,12.6544285
234,94.181816
235,29.022806
236,72.76428
237,60.92509
238,15.545832
239,228.4365
240,19.800009
241,13.7854595
242,321.86026
243,140.1568
244,18.400988
245,21.476488
246,190.13896
247,25.356863
248,54.826168
249,66.76237
250,42.23666
251,25.642904
252,25.912596
253,9.745615
254,14.722414
255,56.023655
256,178.24901
257,29.139582
258,16.604208
259,63.271168
260,48.241306
261,5.9961185
262,30.198881
263,-0.94573385
264,149.33994
265,30.764631
266,70.72514
267,10.369974
268,91.48563
269,16.115019
270,20.468203
271,17.441545
272,77.12136
273,20.306837
274,135.77162
275,109.92862
276,153.65913
277,61.365314
278,424.14966
279,203.38152
280,14.759447
281,21.213007
282,17.881777
283,21.882433
284,34.793465
285,114.00668
286,470.16638
287,180.99838
288,66.657
289,90.77629
290,92.73385
291,12.819799
292,3.4191
293,26.540594
294,12.475706
295,20.891386
296,39.473293
297,16.384699
298,119.66046
299,16.467508
300,1.38822
301,75.2242
302,17.345373
303,23.03971
304,222.80084
305,77.217926
306,32.082226
307,13.248491
308,544.9991
309,11.078173
310,19.412706
311,22.700537
312,69.54882
313,12.653902
314,27.653494
315,11.463366
316,9.774084
317,108.27371
318,13.549326
319,36.72086
320,45.982307
321,24.144358
322,38.568066
323,4.3552837
324,26.639025
325,9.755198
326,7.4540195
327,14.431265
328,67.24085
329,15.331991
330,79.975914
331,89.63805
332,139.9303
333,19.677752
334,52.567833
335,12.725382
336,-1.6600817
337,15.435324
338,167.7942
339,55.625195
340,19.06391
341,2.7994368
342,25.681566
343,75.05422
344,71.83985
345,16.963041
346,64.07468
347,125.188354
348,68.664566
349,2.348616
350,5.7790394
351,17.324858
352,13.586203
353,111.28844
354,18.364016
355,112.07694
356,10.451231
357,-0.31934533
358,56.409863
359,24.875517
360,18.680162
361,30.330568
362,52.447174
363,81.17609
364,5.6277103
365,422.34647
366,5.7648335
367,22.474821
368,19.28055
369,10.495436
370,121.3495
371,167.12811
372,31.674456
373,2.0096724
374,31.527533
375,35.22094
376,7.363489
377,173.7813
378,448.93008
379,26.845358
380,76.633736
381,121.031586
382,37.15011
383,31.77477
384,89.44726
385,13.167601
386,-6.912737
387,33.566505
388,117.237305
389,53.27866
390,25.168524
391,512.48285
392,16.222738
393,8.206682
394,193.05112
395,30.691713
396,88.98703
397,35.309307
398,16.267302
399,54.129803
400,10.2178135
401,104.66941
402,26.345999
403,26.848291
404,120.277176
405,23.981897
406,6.553438
407,29.567934
408,57.604053
409,4.5952168
410,15.176397
411,154.48827
412,8.45109
413,51.03001
414,10.865969
415,7.5164394
416,50.7088
417,86.40128
418,19.274294
419,219.46759
420,42.988205
421,0.15263954
422,22.621607
423,27.240614
424,12.438299
425,3.4822829
426,111.980644
427,8.508673
428,18.158083
429,6.8874264
430,21.309172
431,3.2956984
432,27.234522
433,147.03502
434,30.592096
435,85.15895
436,32.89086
437,794.50885
438,17.475122
439,26.19837
440,17.77606
441,39.188408
442,343.36295
443,50.62295
444,6.6623096
445,3.7033598
446,90.355804
447,28.388052
448,64.52615
449,22.600897
450,42.61913
451,18.63598
452,20.372026
453,33.91314
454,13.623247
455,334.7503
456,37.86284
457,220.07245
458,96.094154
459,16.382906
460,19.047388
461,100.960304
462,15.980688
463,26.019053
464,21.71478
465,8.605162
466,12.677732
467,21.891207
468,8.763994
469,12.301802
470,17.905684
471,24.55301
472,26.291697
473,40.277195
474,3.2028334
475,151.49771
476,13.017492
477,14.797567
478,383.82306
479,62.571957
480,52.821068
481,21.564154
482,127.20886
483,11.963575
484,147.96033
485,27.512857
486,21.968409
487,0.037038952
488,37.04138
489,59.42967
490,27.029776
491,48.220123
492,52.202923
493,1451.923
494,100.68689
495,141.00967
496,28.61497
497,123.034676
498,35.116375
499,27.52437
500,168.68207
501,93.03009
502,139.13242
503,51.414154
504,12.895815
